"Komentar","Kategori","",""
"Kalian mesti cobain guys, hasil racikannya enak banget asli, min di jkt adain lagi dong 🙏","Positif","",""
"Min kenapa beli di Alfamart mahal²😔😔","Negatif","",""
"Mantep fulll gasken menyala🔥🔥🔥😂😂😂❤️❤️❤️","Positif","",""
"Apa ini bisa juga bikin wajah makin cerah ?","Netral","",""
"beneran work gw beliin ade bulan kemarin rutin make tiap hari jerawatnya ga berbekas","Positif","",""
"Saya sudah lama pakai Kahf biru, namun tadi ketika cuci muka tidak sengaja masuk ke mata, perihnya minta ampun sampai ga tahan, dicuci matanya berkali-kali masih perih juga, sampai saya ketik comment ini pun masih perih. Kandungannya apa yah sampai buat mata sakit dan perih sekali?","Negatif","",""
"🔥🔥 Keren kalian 🔥","Positif","",""
"Hai","Netral","",""
"efeknya kok agak gatal y?...","Negatif","",""
"Harga","Netral","",""
"Jujur Saya sangat tidak senang dengan trend model kamera belakang seperti ini","Negatif","",""
"Ikuuut 🙌🏼","Positif","",""
"cek dm kak","Netral","",""
"uhuu mantaap 😍❤️","Positif","",""
"lawak min","Negatif","",""
"saya sudah membelinya kemarin,kameranya gacor banget woyyy Saingan Iphone nih boss💀🤙","Positif","",""
"Warna nya enggak banget , warna hijau atau pink gitu","Negatif","",""
"Setiap bermain game saya selalu ada hitam hitam di layar saya tolong dong pihak xiaomi jangan di anggurin aja dm saya saya juga merasa di rugikan","Negatif","",""
"Mewah 😍","Positif","",""
"First sale nya mulai jam berapa??","Netral","",""
"Model kameranya cok😂","Positif","",""
"super lucuuuuuu😍😍😍","Positif","",""
"Saya sudah beli min 👏🔥","Positif","",""
"Kamera 1080 60fps nya patah patah 😥","Negatif","",""
"lagi ada promo gak kak?","Netral","",""
"Renot 14 kapan min udah gk sabar 😂","Positif","",""
"Redmi 9t saya penerimaan sinyal internet nya lemah banget pak Bu, sudah hampir 1 minggu","Negatif","",""
"Min, LCD nya berapa untuk varian note 13 4G?","Netral","",""
"Apakah ada toko offline untuk liat fisik barang?","Netral","",""
"Gila, siapa sangka secepat ini 🤩","Positif","",""
"Min knpa masih ada iklan ny, hp ny bagus tp iklan ny gk bgt😢","Negatif","",""
"Berapa harga min, cek harga dulu boleh kan","Netral","",""
"Ijo nya nangis bgttt yampun harus punya 😍😭","Positif","",""
"Min kenapa batre nya boros banget 😢","Negatif","",""
"udah beli yg redmi note 13 pro 4g, kameranya cakep poll 😍😍","Positif","",""
"renot 13 pro+ gua cepet banget panas ya dari awal baru beli anjir pdhal cuman buat scroll doang,refresh rate juga uda diturunin ni 60fps masih ajaa panas bangettt mana batre boros lgi","Negatif","",""
"Kenapa xiaomy kalo diupdate Malah kameranya jadi jelek ya?","Negatif","",""
"Spil harga nya?","Netral","",""
"Apa ya yang sat set sat set masih MMC 5.1 lemot itu apalagi di bawa nge-game berat auto patah patah 😂😂😂😂 yang benar itu sat set sat set UFS 2.1atau 2.2 ini baru Joss memori xiaomi","Negatif","",""
"Kak, 13T keluar lagi ga?","Netral","",""
"Min fitur game turbo di redmi 13c dong min dari dulu pingin coba hp sebelumnya redmi9c sama gak ada game turbo nya😢😢","Negatif","",""
"Harganya sangat mahal 😰🤯😰","Negatif","",""
"Keren HP flagship Xiaomi 14 min, paling top diseriesnya. Sukses.","Positif","",""
"Jangan buat iklan yang wow gitu balik kayak dulu tunjukin performa kalian walau tanpa iklan! Gue bakal balik ke xiaomi lagi kalau sudah kayak dulu best performa tanpa gimmick ! 😍","Negatif","",""
"Dapet keyboard free ga?","Netral","",""
"Murah juga daripada Samsung wkwkw","Positif","",""
"Ini mah best deal 🔥","Positif","",""
"Greenline gak nih 😃","Netral","",""
"spec nya selalu kentang jika di compare dengan spec yg tidak hadir di indonesia. alasan user pada bnyk yg beli di luar negeri karena ingin spec di atas 8/256gb.","Negatif","",""
"Untuk warna apa saja ya?","Netral","",""
"Mau beli yg ungu slalu aja abis di semua marketplace 😭","Negatif","",""
"Keren banget si🔥","Positif","",""
"Wow pasang alarm","Netral","",""
"Gimana ini min paket saya kurir asal kirim aja ke orang lain paket belum sampai juga","Negatif","",""
