reviews,Negatif,Netral,Positif
m hilang jaringan nya iphone ya,False,True,False
woi mati sinyal jam ganti operator nomorku uda kesimpan tak uda ku tinggal kau indosat tengik,True,False,False
indosatim tidak sinyal kak cek pdhl lusa kmrn sinyal,True,False,False
indosatim udah kayak gini gapernah bantu call center nya jelek,True,False,False
indosatim udah info ya tetep aja solusi nya ditunggu payahhhh banget trouble indosat,True,False,False
cek nomor indosat gimana min,False,True,False
jaringan im jelek parah udh dicomplain ga perubahan aassssuuu,True,False,False
msh pagi dh gangguan kecewa,True,False,False
min klo balikin no hilang bayar berpa mahal liat org,False,True,False
min kartu ilang ganti kartu nomornya tetep lama ga min biaya nya,False,True,False
indosatim udah dm udah kirim lokasi lengkap beserta shareloknya,False,True,False
indosatim iya mahal banget knpa sih mah gk mahal m,True,False,False
keren kak,False,False,True
member dah tahunan dapet reward paket mahal kuota mending pindah kartu aja kalo terusan kek gitu,False,True,False
guys unsubscribe tri yukk pindak sebelah,True,False,False
pake indosat emng keren bagus,False,False,True
tolong im suka nyepam iklan pake popup hp ganggu banget,True,False,False
kesini sinyalnya jelek buruk bgt marah pdhal bli kuota lohh ampun dehh,True,False,False
lama mahal harganyatrus tolong beneefit member platinum perasaan ya aja kaya bronze pindah provider aja derrrrr,True,False,False
boznet gw lancar dr pasang dah th blm kendala trobelmalah dpt upgrade speed gratismantap biznet,False,False,True
mantap ban vyn,False,False,True
rampage nya suara,False,True,False
mantap bln dpt upgrade speed gratis lg senyum cinta,False,False,True
sukses selaluu mantappp biznethome keren,False,False,True
barakallahufiiumrik biznethome berdoa,False,False,True
berlangganan biznet sales emang tf pemasangan ya biznethome,False,True,False
sukses biznethome berkembang jaya keren pokoknya sehat kak biznetfestival suka suka senyum cinta,False,False,True
pas pembayaran aja cepet nagih telat dikit dikoneksi matiin pas lemot dihubungin susah,True,False,False
si slayy tertawa cinta ikafachrizal okakurn,False,False,True
semoga sukses berkah berdoa,False,False,True
kampungpemulungpinangranti_ipi suka,False,False,True
cek dm min kzl mbaknya yg delivery,True,False,False
rizkiharyadi hayuk senang,False,False,True
suka,False,False,True
min cocholate caramel pie udah gak tersedia,False,True,False
masyaallah semoga mcdonalds hadir membawa keceriaan berkah senyum cinta,False,False,True
rinduu kembalii mcd memohon sedih,False,False,True
gimana daftar mc kids min website ga,False,True,False
kalo outlet kopo kasoh surprice birthday ga ya,False,True,False
arknlbbk_ menu choco caramel pie menu terbatas persediaan menyesuaikan stok restoran senyum,False,True,False
mendaftar member mckids aplikasi mcdonalds informasi lengkap kunjungi mcdonalds terdekat ya senyum,False,True,False
kerennm,False,False,True
rikahasrianti suka,False,False,True
min mcdonaldsid pakai mesin self order jam sibuk ramai pengunjung makanan lamabisa menit kaget,True,False,False
emg program nya bu krn antri tertawa heraaapr,False,True,False
mcd bikin resto yg adult only bosan masuk resto yg family anak spoiled brat,True,False,False
lama gimana gitu ya bonus stiker mcdelivery tertawa,True,False,False
parah sih mcd kota bintang bekasi bula jam tp jam gratis sticker fanta float habis diganti ice coffee parah sih ngapain buka jam bintang sih mcd mcdonaldsid penipuan gk siiihh,True,False,False
arlidya ice coffee gk laku krn gk enak jdnya dibagi gratis yaaa,True,False,False
mcd pakuwon mall solo tolong ditindak berbohong cone dibawah meja bilangnya habis penipuan org beli yg wadah cup namanya mending gak jual,True,False,False
beli paketan isi cococolaspritefanta beli minuman aja dapet penawaran,False,True,False
jd hrs bli fanta tau cocola dlu,False,True,False
min menu mcflavor gk enak sedih,False,False,True
mcdonaldsid tolong gerai kudus diperbaiki servisnya pesanan kelewat udah menit konfirm belum alasan sy mekdi resto cepat saji alias ga butuh nunggu lama kelewat pesanan its not professional,True,False,False
kemarin sore makan paketnasi mcd mall bekasi cyber park mcdonaldsid mallbekasicyberpark gelas coca colla nyaa bekas lipstik dalem gelas bekas minum crew nyaa belum nyentuh gelas mohon kedepannya jaga yaa kebersihannya jorok,True,False,False
struk yg musti yg batas,False,True,False
ny gimana min,False,True,False
take away kak,False,True,False
emang ice cream beli,False,True,False
mcdonaldsid woo enak pesta suka yg jelly ball,False,False,True
dinaparamitha ppn nya kak,False,True,False
ok next time,False,True,False
sampe minn,False,True,False
cepetan sembuh neng nikayla temenin mama ya,False,True,False
tesyasaadah cihuyyy,False,False,True
cinderfuckerlela persediaan ya senyum,False,True,False
natalifell kaget,False,True,False
beneran enak banget,False,False,True
yg matcha min,False,False,True
nightfairy iya bener yg matcha enak bngt senyum cinta,False,False,True
min mcgriddle enak lohh,False,False,True
